       t = T/4        t = T/2          t = T 
       0.204352       0.134336     -0.0718125
       0.196151       0.128945      -0.068931
       0.187933       0.123542     -0.0660423
       0.179698       0.118128     -0.0631496
       0.171447       0.112704     -0.0602515
        0.16318        0.10727     -0.0573474
         0.1549       0.101827     -0.0544378
       0.146605      0.0963742     -0.0515232
       0.138298       0.090913     -0.0486038
       0.129978      0.0854436     -0.0456789
       0.121647      0.0799666     -0.0427505
       0.113304      0.0744826     -0.0398191
       0.104952      0.0689926     -0.0368833
      0.0965913      0.0634962      -0.033944
      0.0882212      0.0579943     -0.0310012
       0.079843      0.0524874     -0.0280568
      0.0714578      0.0469754     -0.0251104
      0.0630662       0.041459     -0.0221616
      0.0546691      0.0359387       -0.01921
      0.0462672      0.0304152     -0.0162559
       0.037861      0.0248892     -0.0133012
      0.0294513      0.0193608     -0.0103465
       0.021039      0.0138309    -0.00739107
       0.012625     0.00829984    -0.00443414
     0.00420964     0.00276806    -0.00147766
    -0.00420606    -0.00276365     0.00147999
     -0.0126213     -0.0082952     0.00443772
     -0.0210355     -0.0138261     0.00739475
     -0.0294477     -0.0193561      0.0103511
     -0.0378574     -0.0248846       0.013306
     -0.0462636     -0.0304111      0.0162603
     -0.0546658     -0.0359343      0.0192138
      -0.063063      -0.041454      0.0221654
     -0.0714546     -0.0469699      0.0251136
       -0.07984     -0.0524814      0.0280601
     -0.0882182     -0.0579883      0.0310038
     -0.0965884       -0.06349      0.0339439
       -0.10495     -0.0689863      0.0368818
      -0.113302     -0.0744763      0.0398169
      -0.121644     -0.0799597      0.0427489
      -0.129976     -0.0854368      0.0456774
      -0.138295     -0.0909068      0.0486019
      -0.146603     -0.0963686      0.0515206
      -0.154897      -0.101821      0.0544345
      -0.163178      -0.107265       0.057344
      -0.171444      -0.112699      0.0602474
      -0.179695      -0.118124      0.0631472
       -0.18793      -0.123538      0.0660408
      -0.196149      -0.128941      0.0689283
       -0.20435      -0.134332      0.0718093
      -0.212533      -0.139712      0.0746842
      -0.220697      -0.145079      0.0775531
      -0.228841      -0.150432      0.0804152
      -0.236965      -0.155772      0.0832698
      -0.245067      -0.161098      0.0861171
      -0.253148      -0.166409      0.0889548
      -0.261205      -0.171705      0.0917851
       -0.26924      -0.176987      0.0946089
       -0.27725      -0.182253      0.0974244
      -0.285236      -0.187503       0.100231
      -0.293196      -0.192736       0.103027
      -0.301129      -0.197951       0.105815
      -0.309035      -0.203149       0.108594
      -0.316914      -0.208329       0.111363
      -0.324765      -0.213489       0.114122
      -0.332587      -0.218631       0.116872
      -0.340379      -0.223753        0.11961
      -0.348141      -0.228855       0.122338
      -0.355872      -0.233937       0.125055
      -0.363571      -0.238997       0.127761
      -0.371237      -0.244037       0.130455
       -0.37887      -0.249055       0.133137
      -0.386469      -0.254051       0.135806
      -0.394033      -0.259024       0.138464
      -0.401563      -0.263974        0.14111
      -0.409056        -0.2689       0.143744
      -0.416514      -0.273801       0.146366
      -0.423934       -0.27868       0.148974
      -0.431317      -0.283533       0.151568
      -0.438661      -0.288361       0.154149
      -0.445966      -0.293163       0.156717
       -0.45323      -0.297939        0.15927
      -0.460455      -0.302689        0.16181
      -0.467638      -0.307411       0.164335
       -0.47478      -0.312106       0.166845
      -0.481879      -0.316773        0.16934
      -0.488934      -0.321412        0.17182
      -0.495947      -0.326022       0.174285
      -0.502914      -0.330603       0.176734
      -0.509838      -0.335155       0.179167
      -0.516716      -0.339677       0.181586
      -0.523547      -0.344168       0.183987
      -0.530332      -0.348629       0.186372
      -0.537069      -0.353058        0.18874
      -0.543759      -0.357455       0.191091
        -0.5504      -0.361822       0.193426
      -0.556992      -0.366155       0.195744
      -0.563534      -0.370455       0.198043
      -0.570026      -0.374723       0.200325
      -0.576467      -0.378957       0.202588
      -0.582856      -0.383158       0.204834
      -0.589194      -0.387325       0.207061
      -0.595478      -0.391456        0.20927
      -0.601709      -0.395553       0.211462
      -0.607887      -0.399614       0.213633
       -0.61401      -0.403641       0.215786
      -0.620079      -0.407632       0.217919
      -0.626093      -0.411585       0.220032
      -0.632052      -0.415501       0.222125
      -0.637954       -0.41938       0.224199
      -0.643799      -0.423221       0.226252
      -0.649586      -0.427025       0.228285
      -0.655315      -0.430791       0.230299
      -0.660985      -0.434519       0.232293
      -0.666596      -0.438208       0.234264
      -0.672148      -0.441857       0.236216
       -0.67764      -0.445468       0.238147
       -0.68307      -0.449037       0.240057
      -0.688441      -0.452568       0.241943
       -0.69375      -0.456059       0.243808
      -0.698997      -0.459509       0.245651
      -0.704182      -0.462917       0.247474
      -0.709303      -0.466284       0.249273
      -0.714361       -0.46961        0.25105
      -0.719355      -0.472894       0.252805
      -0.724286      -0.476135       0.254538
      -0.729151      -0.479334       0.256248
      -0.733951      -0.482489       0.257934
      -0.738687      -0.485601         0.2596
      -0.743357      -0.488669       0.261241
       -0.74796      -0.491694       0.262857
      -0.752496      -0.494676       0.264452
      -0.756964      -0.497613       0.266023
      -0.761366      -0.500507       0.267571
      -0.765699      -0.503356       0.269093
      -0.769964      -0.506161       0.270593
       -0.77416      -0.508919       0.272067
      -0.778286      -0.511632       0.273517
      -0.782344        -0.5143       0.274942
      -0.786332      -0.516921       0.276343
      -0.790249      -0.519497       0.277718
      -0.794095      -0.522026       0.279069
      -0.797871      -0.524508       0.280394
      -0.801575      -0.526944       0.281695
      -0.805208      -0.529333       0.282971
      -0.808769      -0.531675       0.284223
      -0.812257      -0.533969       0.285447
      -0.815674      -0.536215       0.286646
      -0.819018      -0.538414       0.287821
      -0.822289      -0.540565       0.288969
      -0.825486      -0.542667       0.290092
       -0.82861      -0.544721       0.291189
       -0.83166      -0.546726       0.292259
      -0.834637      -0.548681       0.293304
      -0.837539      -0.550589       0.294322
      -0.840366      -0.552448       0.295316
      -0.843118      -0.554256       0.296282
      -0.845795      -0.556015       0.297223
      -0.848395      -0.557724       0.298136
      -0.850919      -0.559384       0.299023
      -0.853369      -0.560993       0.299884
      -0.855742      -0.562552       0.300718
      -0.858039      -0.564062       0.301524
      -0.860259       -0.56552       0.302304
      -0.862402      -0.566928       0.303057
      -0.864468      -0.568285       0.303782
      -0.866458      -0.569592       0.304481
      -0.868371      -0.570849       0.305153
      -0.870205      -0.572055       0.305798
      -0.871961      -0.573209       0.306415
       -0.87364      -0.574313       0.307004
      -0.875241      -0.575365       0.307566
      -0.876764      -0.576365       0.308101
      -0.878208      -0.577313       0.308608
      -0.879574      -0.578211       0.309088
       -0.88086      -0.579057       0.309539
      -0.882068      -0.579852       0.309965
      -0.883197      -0.580595       0.310362
      -0.884247      -0.581285        0.31073
      -0.885218      -0.581924       0.311072
       -0.88611      -0.582512       0.311386
      -0.886924      -0.583047       0.311672
      -0.887658      -0.583529       0.311931
      -0.888313      -0.583959       0.312161
      -0.888889      -0.584335       0.312365
      -0.889387      -0.584662       0.312538
      -0.889803      -0.584936       0.312686
      -0.890141      -0.585158       0.312805
      -0.890399      -0.585326       0.312895
      -0.890578      -0.585444       0.312958
      -0.890677      -0.585509       0.312993
      -0.890697       -0.58552       0.313001
      -0.890638       -0.58548        0.31298
      -0.890499      -0.585387       0.312931
      -0.890281      -0.585241       0.312854
      -0.889983      -0.585042       0.312749
      -0.889605      -0.584793       0.312615
      -0.889148      -0.584492       0.312455
      -0.888612       -0.58414       0.312266
      -0.887996      -0.583735        0.31205
      -0.887301      -0.583278       0.311807
      -0.886528      -0.582769       0.311534
      -0.885675      -0.582208       0.311234
      -0.884743      -0.581595       0.310906
      -0.883733      -0.580931       0.310551
      -0.882643      -0.580215       0.310167
      -0.881474      -0.579447       0.309756
      -0.880227      -0.578628       0.309317
        -0.8789      -0.577756       0.308852
      -0.877496      -0.576834       0.308358
      -0.876013      -0.575859       0.307837
      -0.874452      -0.574833       0.307288
      -0.872811      -0.573755       0.306712
      -0.871093      -0.572626       0.306108
      -0.869298      -0.571447       0.305477
      -0.867426      -0.570216       0.304819
      -0.865475      -0.568935       0.304134
      -0.863448      -0.567602       0.303422
      -0.861343      -0.566219       0.302682
      -0.859161      -0.564785       0.301915
      -0.856904      -0.563302       0.301121
      -0.854569      -0.561767       0.300301
      -0.852158      -0.560183       0.299454
      -0.849671      -0.558547       0.298581
      -0.847108      -0.556863       0.297679
       -0.84447      -0.555129       0.296753
      -0.841756      -0.553345       0.295799
      -0.838967      -0.551511        0.29482
      -0.836103      -0.549628       0.293813
      -0.833165      -0.547696       0.292781
      -0.830152      -0.545714       0.291721
      -0.827065      -0.543685       0.290637
      -0.823903      -0.541607       0.289526
      -0.820668      -0.539479       0.288388
      -0.817359      -0.537304       0.287225
      -0.813979      -0.535082       0.286037
      -0.810525      -0.532813       0.284823
      -0.806999      -0.530496       0.283584
      -0.803401      -0.528132       0.282319
      -0.799732      -0.525721        0.28103
      -0.795991      -0.523261       0.279715
      -0.792178      -0.520756       0.278376
      -0.788295      -0.518203       0.277011
      -0.784342      -0.515605       0.275622
      -0.780318      -0.512961       0.274207
      -0.776226      -0.510271       0.272768
      -0.772064      -0.507535       0.271305
      -0.767833      -0.504754       0.269818
      -0.763534      -0.501928       0.268307
      -0.759166      -0.499058       0.266772
      -0.754731      -0.496143       0.265213
      -0.750228      -0.493183       0.263631
      -0.745658      -0.490179       0.262026
      -0.741021      -0.487132       0.260397
      -0.736319      -0.484041       0.258743
      -0.731552      -0.480908       0.257067
      -0.726718      -0.477731       0.255368
       -0.72182       -0.47451       0.253648
      -0.716857      -0.471249       0.251904
      -0.711829      -0.467945       0.250137
      -0.706738      -0.464598       0.248348
      -0.701584      -0.461211       0.246537
      -0.696368      -0.457783       0.244706
      -0.691089      -0.454314        0.24285
      -0.685749      -0.450803       0.240974
      -0.680348      -0.447252       0.239075
      -0.674886       -0.44366       0.237157
      -0.669363      -0.440031       0.235216
      -0.663781      -0.436361       0.233254
       -0.65814      -0.432653       0.231272
      -0.652441      -0.428904       0.229268
      -0.646683      -0.425119       0.227245
      -0.640867      -0.421297       0.225203
      -0.634994      -0.417436       0.223138
      -0.629065      -0.413538       0.221054
       -0.62308      -0.409602        0.21895
      -0.617039      -0.405631       0.216828
      -0.610943      -0.401623       0.214685
      -0.604792       -0.39758       0.212523
      -0.598587      -0.393501       0.210344
      -0.592328      -0.389386       0.208144
      -0.586016      -0.385237       0.205926
      -0.579653      -0.381053        0.20369
      -0.573237      -0.376836       0.201436
      -0.566771      -0.372584       0.199165
      -0.560254      -0.368299       0.196875
      -0.553686      -0.363982       0.194568
       -0.54707      -0.359632       0.192242
      -0.540405      -0.355251         0.1899
      -0.533691      -0.350836       0.187541
      -0.526931      -0.346391       0.185165
      -0.520123      -0.341916       0.182773
      -0.513268       -0.33741       0.180365
      -0.506367      -0.332873       0.177941
      -0.499421      -0.328308         0.1755
      -0.492431      -0.323712       0.173044
      -0.485398      -0.319088       0.170573
       -0.47832      -0.314435       0.168087
      -0.471201      -0.309754       0.165585
      -0.464038      -0.305046       0.163069
      -0.456834      -0.300309       0.160537
       -0.44959      -0.295547       0.157991
      -0.442305      -0.290758       0.155431
      -0.434981      -0.285943       0.152855
      -0.427618      -0.281104       0.150269
      -0.420217      -0.276239       0.147668
      -0.412778      -0.271348       0.145054
      -0.405303      -0.266433       0.142427
      -0.397791      -0.261495       0.139788
      -0.390244      -0.256532       0.137135
      -0.382663      -0.251548        0.13447
      -0.375047      -0.246541       0.131793
      -0.367397      -0.241512       0.129105
      -0.359714      -0.236461       0.126404
      -0.351999      -0.231389       0.123693
      -0.344253      -0.226297        0.12097
      -0.336477      -0.221185       0.118236
       -0.32867      -0.216053       0.115493
      -0.320833      -0.210901       0.112739
      -0.312968      -0.205731       0.109975
